Название файла,Ссылка,Было,Стало
220020068_456255414.mp4,https://vkvideo.ru/video-220020068_456255414,0:01:42–0:01:47,0:00:42–0:00:47
220020068_456241671.mp4,https://vkvideo.ru/video-220020068_456241671,0:03:47–0:03:10,0:02:47–0:03:10
220020068_456256016.mp4,https://vkvideo.ru/video-220020068_456256016,0:04:32–0:04:38,0:03:32–0:03:38
220020068_456255332.mp4,https://vkvideo.ru/video-220020068_456255332,0:02:57–0:02:25,0:01:57–0:02:57
220020068_456241672.mp4,https://vkvideo.ru/video-220020068_456241672,0:03:51–0:03:15,0:02:51–0:03:15
220020068_456256475.mp4,https://vkvideo.ru/video-220020068_456256475,0:10:42–0:10:25,0:09:42–0:10:25
220020068_456248657.mp4,https://vkvideo.ru/video-220020068_456248657,0:02:30–0:02:29,0:01:30–0:02:29
220020068_456241673.mp4,https://vkvideo.ru/video-220020068_456241673,0:02:52–0:02:17,0:01:52–0:02:17
220020068_456254621.mp4,https://vkvideo.ru/video-220020068_456254621,0:07:39–0:07:22,0:06:39–0:07:22
220020068_456241758.mp4,https://vkvideo.ru/video-220020068_456241758,0:01:58–0:01:02,0:00:58–0:01:02
220020068_456252055.mp4,https://vkvideo.ru/video-220020068_456252055,0:07:40–0:00:11,0:06:40–0:08:06
220020068_456255389.mp4,https://vkvideo.ru/video-220020068_456255389,0:00:00–0:00:08,0:00:04–0:00:08
220020068_456241851.mp4,https://vkvideo.ru/video-220020068_456241851,0:01:05–0:00:15,0:00:05–0:00:15
220020068_456256571.mp4,https://vkvideo.ru/video-220020068_456256571,0:04:43–0:04:26,0:03:43–0:04:26
220020068_456256019.mp4,https://vkvideo.ru/video-220020068_456256019,0:02:31–0:02:38,0:01:31–0:01:38
220020068_456255344.mp4,https://vkvideo.ru/video-220020068_456255344,0:01:53–0:01:27,0:00:53–0:01:27
220020068_456255391.mp4,https://vkvideo.ru/video-220020068_456255391,0:01:50–0:01:55,0:00:50–0:00:55
220020068_456241844.mp4,https://vkvideo.ru/video-220020068_456241844,0:02:44–0:02:48,0:01:44–0:01:48
220020068_456255346.mp4,https://vkvideo.ru/video-220020068_456255346,0:01:51–0:01:26,0:00:51–0:01:26
220020068_456255392.mp4,https://vkvideo.ru/video-220020068_456255392,0:01:50–0:01:55,0:00:50–0:00:55
220020068_456256003.mp4,https://vkvideo.ru/video-220020068_456256003,0:03:31–0:03:37,0:02:31–0:02:37
220020068_456255393.mp4,https://vkvideo.ru/video-220020068_456255393,0:01:50–0:01:55,0:00:50–0:00:55
220020068_456255767.mp4,https://vkvideo.ru/video-220020068_456255767,0:01:58–0:01:08,0:00:58–0:01:08
220020068_456255394.mp4,https://vkvideo.ru/video-220020068_456255394,0:01:50–0:01:00,0:00:50–0:00:55
220020068_456255409.mp4,https://vkvideo.ru/video-220020068_456255409,0:01:42–0:01:47,0:00:42–0:00:47
220020068_456257137.mp4,https://vkvideo.ru/video-220020068_456257137,0:02:53–0:02:00,0:01:53–0:02:00
220020068_456241847.mp4,https://vkvideo.ru/video-220020068_456241847,0:06:46–0:06:50,0:05:46–0:05:50
220020068_456256868.mp4,https://vkvideo.ru/video-220020068_456256868,0:02:46–0:02:56,0:01:46–0:01:56
220020068_456255349.mp4,https://vkvideo.ru/video-220020068_456255349,0:02:37–0:02:11,0:01:37–0:02:11
220020068_456255410.mp4,https://vkvideo.ru/video-220020068_456255410,0:01:43–0:01:52,0:00:43–0:00:47
220020068_456256893.mp4,https://vkvideo.ru/video-220020068_456256893,0:01:41–0:01:51,0:00:41–0:00:51
220020068_456241682.mp4,https://vkvideo.ru/video-220020068_456241682,0:02:35–0:02:11,0:01:35–0:02:11
220020068_456255396.mp4,https://vkvideo.ru/video-220020068_456255396,0:01:48–0:01:50,0:00:48–0:00:50
220020068_456255411.mp4,https://vkvideo.ru/video-220020068_456255411,0:01:42–0:01:47,0:00:42–0:00:47
220020068_456254614.mp4,https://vkvideo.ru/video-220020068_456254614,0:08:39–0:08:22,0:07:39–0:08:20
220020068_456241849.mp4,https://vkvideo.ru/video-220020068_456241849,0:03:59–0:03:03,0:02:59–0:03:03
220020068_456255780.mp4,https://vkvideo.ru/video-220020068_456255780,0:01:40–0:01:49,0:00:40–0:00:49
220020068_456253855.mp4,https://vkvideo.ru/video-220020068_456253855,0:08:31–0:08:12,0:07:31–0:08:12
220020068_456255412.mp4,https://vkvideo.ru/video-220020068_456255412,0:01:42–0:01:52,0:00:42–0:00:47
220020068_456253876.mp4,https://vkvideo.ru/video-220020068_456253876,0:12:48–0:12:29,0:11:48–0:12:29
220020068_456256430.mp4,https://vkvideo.ru/video-220020068_456256430,0:07:33–0:07:18,0:06:33–0:07:16
220020068_456255338.mp4,https://vkvideo.ru/video-220020068_456255338,0:01:36–0:01:42,0:00:36–0:00:42
220020068_456256446.mp4,https://vkvideo.ru/video-220020068_456256446,0:05:41–0:05:25,0:04:41–0:05:25
